Ticker,Name,Sector,Market Cap,Company,Sales,EBITDA
IDHQ,PowerShares S&P; Intl Dev High Quality,ETF,0,PowerShares S&P; Intl Dev High Quality (IDHQ),N/A,N/A
73CB.L,STC/HSBC 15 ELN ,ETF,0,STC/HSBC 15 ELN  (73CB.L),N/A,N/A
X018.SG,COMS M RUS30 C IC,ETF,0,COMS M RUS30 C IC (X018.SG),N/A,N/A
EWEM,Guggenheim MSCI Emerging Markets Eq Wt,ETF,0,Guggenheim MSCI Emerging Markets Eq Wt (EWEM),N/A,N/A
MEXS,Global X Mexico Small-Cap ETF,ETF,0,Global X Mexico Small-Cap ETF (MEXS),N/A,N/A
20331935.SG,,ETF,0,20331935.SG,N/A,N/A
UBR,ProShares Ultra MSCI Brazil Cppd,ETF,0,ProShares Ultra MSCI Brazil Cppd (UBR),N/A,N/A
CD91.DE,COMS NY A GOLD IC,ETF,0,COMS NY A GOLD IC (CD91.DE),N/A,N/A
3630370.MU,UBS CAP SECS,ETF,0,UBS CAP SECS (3630370.MU),N/A,N/A
13413888.SG,,ETF,0,13413888.SG,N/A,N/A
11493970.DU,DK MSCI EM ETF T,ETF,0,DK MSCI EM ETF T (11493970.DU),N/A,N/A
22224683.SG,,ETF,0,22224683.SG,N/A,N/A
DBXJ.HM,DBXT MSCI JAP 1C,ETF,0,DBXT MSCI JAP 1C (DBXJ.HM),N/A,N/A
EAPS,Pax MSCI EAFE ESG Index ETF,ETF,0,Pax MSCI EAFE ESG Index ETF (EAPS),N/A,N/A
22017292.SG,,ETF,0,22017292.SG,N/A,N/A
EM35.MI,L UCITS 3-5Y INV GR,ETF,0,L UCITS 3-5Y INV GR (EM35.MI),N/A,N/A
1328967.BE,HBOS VRN,ETF,0,HBOS VRN (1328967.BE),N/A,N/A
3262851.F,TRANSREGIONAL 17VRN,ETF,0,TRANSREGIONAL 17VRN (3262851.F),N/A,N/A
18654488.SG,,ETF,0,18654488.SG,N/A,N/A
SC4RAV6ECS.ST,,ETF,0,SC4RAV6ECS.ST,N/A,N/A
DCNG,iPath Seasonal Natural Gas ETN,ETF,0,iPath Seasonal Natural Gas ETN (DCNG),N/A,N/A
JPNH.SG,L UCITS JAP D EUR,ETF,0,L UCITS JAP D EUR (JPNH.SG),N/A,N/A
GLD,SPDR Gold Shares,ETF,0,SPDR Gold Shares (GLD),N/A,N/A
6PSF.DU,POW NAS OMX EUR,ETF,0,POW NAS OMX EUR (6PSF.DU),N/A,N/A
IEMS.L,ISH MSCI EM SC USD,ETF,0,ISH MSCI EM SC USD (IEMS.L),N/A,N/A
130730.KS,KOSEF Enhanced Cash,ETF,0,KOSEF Enhanced Cash (130730.KS),N/A,N/A
GDAY,ProShares Ultra Australian Dollar,ETF,0,ProShares Ultra Australian Dollar (GDAY),N/A,N/A
IPOL.L,iShares MSCI Poland,ETF,0,iShares MSCI Poland (IPOL.L),N/A,N/A
UC46.L,UBS ETF M NASR AD,ETF,0,UBS ETF M NASR AD (UC46.L),N/A,N/A
SIJ,ProShares UltraShort Industrials,ETF,0,ProShares UltraShort Industrials (SIJ),N/A,N/A
DBPD.DE,DBX SHORTDAX X2 1C,ETF,0,DBX SHORTDAX X2 1C (DBPD.DE),N/A,N/A
18035949.SG,,ETF,0,18035949.SG,N/A,N/A
IBCB.BE,,ETF,0,IBCB.BE,N/A,N/A
10824743.SG,,ETF,0,10824743.SG,N/A,N/A
CSD.TO,iShares Adv Short Dur High Inc Comm,ETF,0,iShares Adv Short Dur High Inc Comm (CSD.TO),N/A,N/A
ICUADCK10.MX,BK NY 25 10,ETF,0,BK NY 25 10 (ICUADCK10.MX),N/A,N/A
TLTE,FlexShares Mstar Emrg Mkts Fct Tl Idx,ETF,0,FlexShares Mstar Emrg Mkts Fct Tl Idx (TLTE),N/A,N/A
TLTD,FlexShares Mstar Dev Mk ex-US Fct Tl Idx,ETF,0,FlexShares Mstar Dev Mk ex-US Fct Tl Idx (TLTD),N/A,N/A
DBX2.F,DBXT MSCI EM AS 1C,ETF,0,DBXT MSCI EM AS 1C (DBX2.F),N/A,N/A
NINI,iPath Pure Beta Nickel ETN,ETF,0,iPath Pure Beta Nickel ETN (NINI),N/A,N/A
BXDC,Barclays Short C Lvgd Inv S&P; 500 TR ETN,ETF,0,Barclays Short C Lvgd Inv S&P; 500 TR ETN (BXDC),N/A,N/A
18551857.SG,,ETF,0,18551857.SG,N/A,N/A
X011.SW,COMS M EU IC,ETF,0,COMS M EU IC (X011.SW),N/A,N/A
BXDB,Barclays Short B Lvgd Inv S&P; 500 TR ETN,ETF,0,Barclays Short B Lvgd Inv S&P; 500 TR ETN (BXDB),N/A,N/A
1191827.SG,,ETF,0,1191827.SG,N/A,N/A
21412032.SG,,ETF,0,21412032.SG,N/A,N/A
BDCL,UBS E-TRACS 2x Wells Fargo Bus Dv Cm ETN,ETF,0,UBS E-TRACS 2x Wells Fargo Bus Dv Cm ETN (BDCL),N/A,N/A
NIFT.L,iShares S&P; CNX Nifty India Swap (IE),ETF,0,iShares S&P; CNX Nifty India Swap (IE) (NIFT.L),N/A,N/A
O078.L,IS ERGG 5.5-10.5,ETF,0,IS ERGG 5.5-10.5 (O078.L),N/A,N/A
12QQ.L,CBQK/HSBC 15 ELN,ETF,0,CBQK/HSBC 15 ELN (12QQ.L),N/A,N/A
OD7D.DE,,ETF,0,OD7D.DE,N/A,N/A
2567387.SG,HBOS VRN REG-S,ETF,0,HBOS VRN REG-S (2567387.SG),N/A,N/A
IUS5.SG,ISHS GLB INF L G-CT,ETF,0,ISHS GLB INF L G-CT (IUS5.SG),N/A,N/A
ITR,SPDR Barclays Cap Interm Term Corp Bnd,ETF,0,SPDR Barclays Cap Interm Term Corp Bnd (ITR),N/A,N/A
18553123.SG,,ETF,0,18553123.SG,N/A,N/A
IS3K.SG,ISH USD SH DUR G-CT,ETF,0,ISH USD SH DUR G-CT (IS3K.SG),N/A,N/A
12IY.L,BHARTI/HSBC WT20,ETF,0,BHARTI/HSBC WT20 (12IY.L),N/A,N/A
ITF,iShares Japan Large-Cap ETF,ETF,0,iShares Japan Large-Cap ETF (ITF),N/A,N/A
ITE,SPDR Barclays Intermediate Term Treasury,ETF,0,SPDR Barclays Intermediate Term Treasury (ITE),N/A,N/A
22285468.SG,,ETF,0,22285468.SG,N/A,N/A
ITB,iShares U.S. Home Construction ETF,ETF,0,iShares U.S. Home Construction ETF (ITB),N/A,N/A
ITA,iShares U.S. Aerospace & Defense ETF,ETF,0,iShares U.S. Aerospace & Defense ETF (ITA),N/A,N/A
SRFCHA.SW,UBSSXI RE CHF ADIS,ETF,0,UBSSXI RE CHF ADIS (SRFCHA.SW),N/A,N/A
ITM,Market Vectors Intermediate Muni ETF,ETF,0,Market Vectors Intermediate Muni ETF (ITM),N/A,N/A
1960266.HM,HYPO ALPE-ADRIA VRN,ETF,0,HYPO ALPE-ADRIA VRN (1960266.HM),N/A,N/A
VPL.MX,VANGRD FTSE PACIFIC,ETF,0,VANGRD FTSE PACIFIC (VPL.MX),N/A,N/A
VGH.TO,Vanguard US Div Appreciation ETF C$ Hdg,ETF,0,Vanguard US Div Appreciation ETF C$ Hdg (VGH.TO),N/A,N/A
22270811.SG,,ETF,0,22270811.SG,N/A,N/A
14371169.SG,,ETF,0,14371169.SG,N/A,N/A
157490.KS,TIGER SOFTWARE,ETF,0,TIGER SOFTWARE (157490.KS),N/A,N/A
22071732.SG,,ETF,0,22071732.SG,N/A,N/A
UST.L,Lyxor ETF NASDAQ-100 D-USD A/I,ETF,0,Lyxor ETF NASDAQ-100 D-USD A/I (UST.L),N/A,N/A
48911.L,ISHS DEV WRLD USD,ETF,0,ISHS DEV WRLD USD (48911.L),N/A,N/A
XPQP.DE,DBXT MSCI PHIL 1C,ETF,0,DBXT MSCI PHIL 1C (XPQP.DE),N/A,N/A
ENOR.MX,ISHS MSCI NORW CAP,ETF,0,ISHS MSCI NORW CAP (ENOR.MX),N/A,N/A
20702615.SG,,ETF,0,20702615.SG,N/A,N/A
20529284.SG,,ETF,0,20529284.SG,N/A,N/A
138920.KS,KODEX Soybeans Futures(H),ETF,0,KODEX Soybeans Futures(H) (138920.KS),N/A,N/A
ZMP.TO,BMO Mid Provincial Bond ETF,ETF,0,BMO Mid Provincial Bond ETF (ZMP.TO),N/A,N/A
21237156.SG,,ETF,0,21237156.SG,N/A,N/A
CSBR.MI,ISHS MSCI BR USD-AC,ETF,0,ISHS MSCI BR USD-AC (CSBR.MI),N/A,N/A
IESM,iShares Enhanced US Small-Cap,ETF,0,iShares Enhanced US Small-Cap (IESM),N/A,N/A
76QC.L,RBS/INDEX 14,ETF,0,RBS/INDEX 14 (76QC.L),N/A,N/A
22224675.SG,,ETF,0,22224675.SG,N/A,N/A
176710.KS,POWER KTB ETF,ETF,0,POWER KTB ETF (176710.KS),N/A,N/A
EXXY.SG,ISHS DJ-UBS CS T,ETF,0,ISHS DJ-UBS CS T (EXXY.SG),N/A,N/A
13778439.SG,,ETF,0,13778439.SG,N/A,N/A
EXX6.HM,ISHS ERGG 10.5+,ETF,0,ISHS ERGG 10.5+ (EXX6.HM),N/A,N/A
1695019.HM,DZ BK FUNDING FRN,ETF,0,DZ BK FUNDING FRN (1695019.HM),N/A,N/A
3SIL.L,Boost Silver 3x Leverage Daily ETP,ETF,0,Boost Silver 3x Leverage Daily ETP (3SIL.L),N/A,N/A
ISWD.AS,ISHS MSCI WD IS USD,ETF,0,ISHS MSCI WD IS USD (ISWD.AS),N/A,N/A
4715036.SG,,ETF,0,4715036.SG,N/A,N/A
139230.KS,TIGER SHIPBUILDING&,ETF,0,TIGER SHIPBUILDING& (139230.KS),N/A,N/A
10228160.DU,ISHS EUR CRP B G-CT,ETF,0,ISHS EUR CRP B G-CT (10228160.DU),N/A,N/A
GMF.MX,SPDR S&P; EMG ASIAPA,ETF,0,SPDR S&P; EMG ASIAPA (GMF.MX),N/A,N/A
IQQF.MU,ISHS MSCI AC FA G-C,ETF,0,ISHS MSCI AC FA G-C (IQQF.MU),N/A,N/A
UIMQ.F,UBS ETF M NASR ID,ETF,0,UBS ETF M NASR ID (UIMQ.F),N/A,N/A
PDII.SW,PS FTSE SWIT EUR,ETF,0,PS FTSE SWIT EUR (PDII.SW),N/A,N/A
21371099.SG,,ETF,0,21371099.SG,N/A,N/A
21966757.SW,UBS ETF MC100HE AC,ETF,0,UBS ETF MC100HE AC (21966757.SW),N/A,N/A
PJS2.DE,PIMCO European Advntg Govt Bd Source ETF,ETF,0,PIMCO European Advntg Govt Bd Source ETF (PJS2.DE),N/A,N/A
C540.SW,COMS IGCC OV IC,ETF,0,COMS IGCC OV IC (C540.SW),N/A,N/A
XWD.TO,iShares MSCI World Index,ETF,0,iShares MSCI World Index (XWD.TO),N/A,N/A
LYS5.F,L GOV BD 3-5Y C EUR,ETF,0,L GOV BD 3-5Y C EUR (LYS5.F),N/A,N/A
MAA.PA,LYX UCITS W GOVT BD,ETF,0,LYX UCITS W GOVT BD (MAA.PA),N/A,N/A
14010837.SG,,ETF,0,14010837.SG,N/A,N/A
SLX,Market Vectors Steel ETF,ETF,0,Market Vectors Steel ETF (SLX),N/A,N/A
19010617.SG,,ETF,0,19010617.SG,N/A,N/A
SDD,ProShares UltraShort SmallCap600,ETF,0,ProShares UltraShort SmallCap600 (SDD),N/A,N/A
3190442.HM,HYPO REAL VRN,ETF,0,HYPO REAL VRN (3190442.HM),N/A,N/A
DXS2.F,DBX RUSSELL 2000 1C,ETF,0,DBX RUSSELL 2000 1C (DXS2.F),N/A,N/A
GCC,GreenHaven Continuous Commodity Index,ETF,0,GreenHaven Continuous Commodity Index (GCC),N/A,N/A
L5EW.L,OSSIAM LUX OSSIAM EURO STOXX 50,ETF,0,OSSIAM LUX OSSIAM EURO STOXX 50 (L5EW.L),N/A,N/A
WHTE.L,"UBS AG, London Branch",ETF,0,"UBS AG, London Branch (WHTE.L)",N/A,N/A
MSEI.AS,RBS M A S-E EU C,ETF,0,RBS M A S-E EU C (MSEI.AS),N/A,N/A
H4ZN.F,HSBC S&P; 40 G-CT,ETF,0,HSBC S&P; 40 G-CT (H4ZN.F),N/A,N/A
13885099.SG,,ETF,0,13885099.SG,N/A,N/A
LYYQ.SG,L.ETF EU.600 INSUR.,ETF,0,L.ETF EU.600 INSUR. (LYYQ.SG),N/A,N/A
20616131.SG,,ETF,0,20616131.SG,N/A,N/A
79ND.L,6.273 CBB INTL 18 ,ETF,0,6.273 CBB INTL 18  (79ND.L),N/A,N/A
21846324.SW,UBS ETF MSCI UK AD,ETF,0,UBS ETF MSCI UK AD (21846324.SW),N/A,N/A
SUB,iShares ST National AMTFree Muni Bnd ETF,ETF,0,iShares ST National AMTFree Muni Bnd ETF (SUB),N/A,N/A
UIMF.SG,UBS ETF MSCI JAP IC,ETF,0,UBS ETF MSCI JAP IC (UIMF.SG),N/A,N/A
20223194.SG,,ETF,0,20223194.SG,N/A,N/A
UB61.L,UBS ETF UBS ETF MSCI EUROPE INF,ETF,0,UBS ETF UBS ETF MSCI EUROPE INF (UB61.L),N/A,N/A
2129555.SG,,ETF,0,2129555.SG,N/A,N/A
KBE.MX,SPDR S&P; BANK ETF,ETF,0,SPDR S&P; BANK ETF (KBE.MX),N/A,N/A
13448870.DU,L.ETF M.CO.W.C-EUR,ETF,0,L.ETF M.CO.W.C-EUR (13448870.DU),N/A,N/A
12296040.SG,,ETF,0,12296040.SG,N/A,N/A
DAXLEV.MI,MUL LY L DDAX,ETF,0,MUL LY L DDAX (DAXLEV.MI),N/A,N/A
20034619.SG,,ETF,0,20034619.SG,N/A,N/A
SALU.L,SALU/ETFS,ETF,0,SALU/ETFS (SALU.L),N/A,N/A
SSAM.L,ISHARES V PUBLIC LIMITED COMPAN,ETF,0,ISHARES V PUBLIC LIMITED COMPAN (SSAM.L),N/A,N/A
CORPTRCISHRS.MX,ISHS MEX CORP BOND,ETF,0,ISHS MEX CORP BOND (CORPTRCISHRS.MX),N/A,N/A
3466107.SW,L.ETF WLD WATER -D-,ETF,0,L.ETF WLD WATER -D- (3466107.SW),N/A,N/A
GUNR,FlexShares Mstar Gbl Upstrm Nat Res ETF,ETF,0,FlexShares Mstar Gbl Upstrm Nat Res ETF (GUNR),N/A,N/A
19667697.SG,,ETF,0,19667697.SG,N/A,N/A
18363441.SG,,ETF,0,18363441.SG,N/A,N/A
1811020.BE,ERSTE FINANCE 4 VRN,ETF,0,ERSTE FINANCE 4 VRN (1811020.BE),N/A,N/A
1SBA.L,ONESAVINGS BK VRN,ETF,0,ONESAVINGS BK VRN (1SBA.L),N/A,N/A
OILB.L,ETFS OIL SEC BRENT1,ETF,0,ETFS OIL SEC BRENT1 (OILB.L),N/A,N/A
DXMWO.MC,DBXT MSCI WORLD 1C,ETF,0,DBXT MSCI WORLD 1C (DXMWO.MC),N/A,N/A
LYPR.SG,L UC ETF S 50 I EUR,ETF,0,L UC ETF S 50 I EUR (LYPR.SG),N/A,N/A
4RTW.DE,,ETF,0,4RTW.DE,N/A,N/A
VAPX.PA,VAN FTSE AS ETF USD,ETF,0,VAN FTSE AS ETF USD (VAPX.PA),N/A,N/A
19871105.SG,,ETF,0,19871105.SG,N/A,N/A
MCRO,IQ Hedge Macro Tracker ETF,ETF,0,IQ Hedge Macro Tracker ETF (MCRO),N/A,N/A
AIGP.MI,AIGP/ETFS,ETF,0,AIGP/ETFS (AIGP.MI),N/A,N/A
IWDE.AS,ISHS MSCI WD EUR-AC,ETF,0,ISHS MSCI WD EUR-AC (IWDE.AS),N/A,N/A
1214187.DU,SPDR MSCI CO.ST.,ETF,0,SPDR MSCI CO.ST. (1214187.DU),N/A,N/A
EWEF,Guggenheim MSCI EAFE Equal Weight,ETF,0,Guggenheim MSCI EAFE Equal Weight (EWEF),N/A,N/A
20495811.SG,,ETF,0,20495811.SG,N/A,N/A
21452297.SG,,ETF,0,21452297.SG,N/A,N/A
157520.KS,TIGER CHEMICALS,ETF,0,TIGER CHEMICALS (157520.KS),N/A,N/A
LGAS.L,LGAS/ETFS,ETF,0,LGAS/ETFS (LGAS.L),N/A,N/A
DXSD.HM,DBXT SE600 O&G; 1C,ETF,0,DBXT SE600 O&G; 1C (DXSD.HM),N/A,N/A
IQQS.DE,iShares EURO STOXX Small,ETF,0,iShares EURO STOXX Small (IQQS.DE),N/A,N/A
FFVX,UBS E-TRACS Dly Sh 6Mo S&P500; VIX Fu ETN,ETF,0,UBS E-TRACS Dly Sh 6Mo S&P500; VIX Fu ETN (FFVX),N/A,N/A
20250988.SG,,ETF,0,20250988.SG,N/A,N/A
20949091.SG,,ETF,0,20949091.SG,N/A,N/A
4878174.DU,COMS M N AMER IC,ETF,0,COMS M N AMER IC (4878174.DU),N/A,N/A
IQQJ.HM,ISHARES MSCI JA G-C,ETF,0,ISHARES MSCI JA G-C (IQQJ.HM),N/A,N/A
12475858.SW,UBSSXI RE CHF IDIS,ETF,0,UBSSXI RE CHF IDIS (12475858.SW),N/A,N/A
20577162.SG,,ETF,0,20577162.SG,N/A,N/A
VTWO,Vanguard Russell 2000 Index ETF,ETF,0,Vanguard Russell 2000 Index ETF (VTWO),N/A,N/A
21371073.SG,,ETF,0,21371073.SG,N/A,N/A
540U.F,AM GR 7-10 UC ETF C,ETF,0,AM GR 7-10 UC ETF C (540U.F),N/A,N/A
19184959.SG,,ETF,0,19184959.SG,N/A,N/A
H500.SW,Amundi ETF S&P; 500 EUR Hdg Dly A/I,ETF,0,Amundi ETF S&P; 500 EUR Hdg Dly A/I (H500.SW),N/A,N/A
VTWG,Vanguard Russell 2000 Growth Index ETF,ETF,0,Vanguard Russell 2000 Growth Index ETF (VTWG),N/A,N/A
DBXH.F,DBX GLBL ILU EUR 1C,ETF,0,DBX GLBL ILU EUR 1C (DBXH.F),N/A,N/A
67VL.L,ATLANT 14 VRN REG-S,ETF,0,ATLANT 14 VRN REG-S (67VL.L),N/A,N/A
M9SJ.SG,RBS M A D RUSS C,ETF,0,RBS M A D RUSS C (M9SJ.SG),N/A,N/A
16CM.L,QEWS/HSBC 15 ELN,ETF,0,QEWS/HSBC 15 ELN (16CM.L),N/A,N/A
VXBB,UBS E-TRACS 2Mo S&P; 500 VIX Futures ETN,ETF,0,UBS E-TRACS 2Mo S&P; 500 VIX Futures ETN (VXBB),N/A,N/A
19904544.SG,,ETF,0,19904544.SG,N/A,N/A
20506867.SG,,ETF,0,20506867.SG,N/A,N/A
XMLV,PowerShares S&P; MidCap Low Volatility,ETF,0,PowerShares S&P; MidCap Low Volatility (XMLV),N/A,N/A
VTWV,Vanguard Russell 2000 Value Index ETF,ETF,0,Vanguard Russell 2000 Value Index ETF (VTWV),N/A,N/A
XD5E.MU,DBX EURO STOXX 50 D,ETF,0,DBX EURO STOXX 50 D (XD5E.MU),N/A,N/A
18580355.SG,,ETF,0,18580355.SG,N/A,N/A
XWFD.L,DB X-TRACKERS DBX MSCI WORLD FI,ETF,0,DB X-TRACKERS DBX MSCI WORLD FI (XWFD.L),N/A,N/A
DXS7.F,DBXT FTSE VIETN 1C,ETF,0,DBXT FTSE VIETN 1C (DXS7.F),N/A,N/A
TWN.MI,L UC ETF TAIW C EUR,ETF,0,L UC ETF TAIW C EUR (TWN.MI),N/A,N/A
LYYP.BE,L UC ETF EU 600 BKS,ETF,0,L UC ETF EU 600 BKS (LYYP.BE),N/A,N/A
WPS,iShares International Developed Property,ETF,0,iShares International Developed Property (WPS),N/A,N/A
XCHB.SG,DBXT CSI300 BAN 1C,ETF,0,DBXT CSI300 BAN 1C (XCHB.SG),N/A,N/A
20506815.SG,,ETF,0,20506815.SG,N/A,N/A
XME.MX,SPDR S&P; METAL MNG,ETF,0,SPDR S&P; METAL MNG (XME.MX),N/A,N/A
21799036.SG,,ETF,0,21799036.SG,N/A,N/A
EXI7.F,IS STOXX A/P RE,ETF,0,IS STOXX A/P RE (EXI7.F),N/A,N/A
20504799.SG,,ETF,0,20504799.SG,N/A,N/A
18M6.F,AM EU HEALTH UC ETF,ETF,0,AM EU HEALTH UC ETF (18M6.F),N/A,N/A
11JT.L,HINDALCO/HSBC16 VRN,ETF,0,HINDALCO/HSBC16 VRN (11JT.L),N/A,N/A
EX01.VI,ISHARES ATX,ETF,0,ISHARES ATX (EX01.VI),N/A,N/A
2301041.SG,UNICREDITO VRN,ETF,0,UNICREDITO VRN (2301041.SG),N/A,N/A
HEP-A.TO,HORIZONS ENHD INCOME GOLD PROD ,ETF,0,HORIZONS ENHD INCOME GOLD PROD  (HEP-A.TO),N/A,N/A
MVOL.SW,iShares MSCI World Minimum Volatility,ETF,0,iShares MSCI World Minimum Volatility (MVOL.SW),N/A,N/A
S5EW.L,OL ES 50 EW UE1CC,ETF,0,OL ES 50 EW UE1CC (S5EW.L),N/A,N/A
XD5E.MI,DBX EURO STOXX 50 D,ETF,0,DBX EURO STOXX 50 D (XD5E.MI),N/A,N/A
SMN,ProShares UltraShort Basic Materials,ETF,0,ProShares UltraShort Basic Materials (SMN),N/A,N/A
VCIT,Vanguard Interm-Tm Corp Bd Idx ETF,ETF,0,Vanguard Interm-Tm Corp Bd Idx ETF (VCIT),N/A,N/A
LYMA.DE,L UC ETF EU 600 FIN,ETF,0,L UC ETF EU 600 FIN (LYMA.DE),N/A,N/A
YSSO.AX,SPDR SMALL ORDS EIN,ETF,0,SPDR SMALL ORDS EIN (YSSO.AX),N/A,N/A
AMEA.SG,AM EM ASIA ETF EUR,ETF,0,AM EM ASIA ETF EUR (AMEA.SG),N/A,N/A
UBU8.DE,UBS(Irl)ETF plc-MSCI World (USD) I-dis,ETF,0,UBS(Irl)ETF plc-MSCI World (USD) I-dis (UBU8.DE),N/A,N/A
CECD.L,Lyxor ETF Eastern Eurp (CECENTR ?) C-?,ETF,0,Lyxor ETF Eastern Eurp (CECENTR ?) C-? (CECD.L),N/A,N/A
20955875.SG,,ETF,0,20955875.SG,N/A,N/A
CSE1.L,ISHARES VII PLC ISHARES MSCI EU,ETF,0,ISHARES VII PLC ISHARES MSCI EU (CSE1.L),N/A,N/A
PSRW.L,POWERSHARES GLBAL FUNDS IRELAND,ETF,0,POWERSHARES GLBAL FUNDS IRELAND (PSRW.L),N/A,N/A
4482173.SW,JB PHYSGD AX (CHF),ETF,0,JB PHYSGD AX (CHF) (4482173.SW),N/A,N/A
SSIL.MI,SSIL/ETFS,ETF,0,SSIL/ETFS (SSIL.MI),N/A,N/A
XCH.TO,iShares China Index,ETF,0,iShares China Index (XCH.TO),N/A,N/A
DBX9.DE,DBXT FTSE C25 1C,ETF,0,DBXT FTSE C25 1C (DBX9.DE),N/A,N/A
11116083.SG,,ETF,0,11116083.SG,N/A,N/A
PSCU,PowerShares S&P; SmallCap Utilities,ETF,0,PowerShares S&P; SmallCap Utilities (PSCU),N/A,N/A
LYYE.HM,L UCITS RUSS C EUR,ETF,0,L UCITS RUSS C EUR (LYYE.HM),N/A,N/A
EEK.PA,E.DJ STX KOR.TIT.30,ETF,0,E.DJ STX KOR.TIT.30 (EEK.PA),N/A,N/A
C011.DE,COMS NASDAQ 100 IC,ETF,0,COMS NASDAQ 100 IC (C011.DE),N/A,N/A
20680770.SG,,ETF,0,20680770.SG,N/A,N/A
11KR.L,JSW/HSBC 15 ELN,ETF,0,JSW/HSBC 15 ELN (11KR.L),N/A,N/A
KBWY,PowerShares KBW Prem Yield Equity REIT,ETF,0,PowerShares KBW Prem Yield Equity REIT (KBWY),N/A,N/A
KBWX,PowerShares KBW International Financial,ETF,0,PowerShares KBW International Financial (KBWX),N/A,N/A
51KZ.L,QATAR/HSBC 15 ELN,ETF,0,QATAR/HSBC 15 ELN (51KZ.L),N/A,N/A
JPNJPA.SW,UBS ETF MSCI JAP AD,ETF,0,UBS ETF MSCI JAP AD (JPNJPA.SW),N/A,N/A
BRNT.MI,BRNT/ETFS ,ETF,0,BRNT/ETFS  (BRNT.MI),N/A,N/A
LYME.MU,L UC HK (HSI) D EUR,ETF,0,L UC HK (HSI) D EUR (LYME.MU),N/A,N/A
ISRA,Market Vectors Israel ETF,ETF,0,Market Vectors Israel ETF (ISRA),N/A,N/A
PSM.MI,POWSH MD EST NA,ETF,0,POWSH MD EST NA (PSM.MI),N/A,N/A
KBWR,PowerShares KBW Regional Banking,ETF,0,PowerShares KBW Regional Banking (KBWR),N/A,N/A
MBNK-18.TA,NIK/MABAT IND S18,ETF,0,NIK/MABAT IND S18 (MBNK-18.TA),N/A,N/A
C075.HM,COMS S600 RET IC,ETF,0,COMS S600 RET IC (C075.HM),N/A,N/A
SSFT.L,SSFT/ETFS,ETF,0,SSFT/ETFS (SSFT.L),N/A,N/A
KBWI,PowerShares KBW Insurance,ETF,0,PowerShares KBW Insurance (KBWI),N/A,N/A
FNZ.NZ,smartFONZ,ETF,0,smartFONZ (FNZ.NZ),N/A,N/A
SSGD.HM,SPDR S&P; INTL FINCL,ETF,0,SPDR S&P; INTL FINCL (SSGD.HM),N/A,N/A
KBWD,PowerShares KBW Hi Div Yield Financial,ETF,0,PowerShares KBW Hi Div Yield Financial (KBWD),N/A,N/A
IM2E.HM,EETF SP GSCI CC AUC,ETF,0,EETF SP GSCI CC AUC (IM2E.HM),N/A,N/A
SVR.TO,iShares Silver Bullion Fund (CAD-Hedged),ETF,0,iShares Silver Bullion Fund (CAD-Hedged) (SVR.TO),N/A,N/A
KBWC,PowerShares KBW Capital Markets,ETF,0,PowerShares KBW Capital Markets (KBWC),N/A,N/A
KBWB,PowerShares KBW Bank,ETF,0,PowerShares KBW Bank (KBWB),N/A,N/A
21004463.SG,,ETF,0,21004463.SG,N/A,N/A
TCTLB-45.TA,TBSK/TACHLIT CP S45,ETF,0,TBSK/TACHLIT CP S45 (TCTLB-45.TA),N/A,N/A
SPYW.SG,SPDR S&P; EUR EUR,ETF,0,SPDR S&P; EUR EUR (SPYW.SG),N/A,N/A
UIMR.F,UBS ETF M EMESR AD,ETF,0,UBS ETF M EMESR AD (UIMR.F),N/A,N/A
FINU.L,Lyxor ETF S&P; 500 Cappd Financ Sct C-USD,ETF,0,Lyxor ETF S&P; 500 Cappd Financ Sct C-USD (FINU.L),N/A,N/A
XH72.L,DB X-TRACKERS II DBX CDX NA HY ,ETF,0,DB X-TRACKERS II DBX CDX NA HY  (XH72.L),N/A,N/A
XMHB.MU,ISH L MSCI EM C,ETF,0,ISH L MSCI EM C (XMHB.MU),N/A,N/A
THHY,Market Vectors Treasury-Hedged Hi Yld Bd,ETF,0,Market Vectors Treasury-Hedged Hi Yld Bd (THHY),N/A,N/A
SEU3.L,MSCEERUS/ETFS,ETF,0,MSCEERUS/ETFS (SEU3.L),N/A,N/A
RZG,Guggenheim S&P; Smallcap 600 Pure Growth,ETF,0,Guggenheim S&P; Smallcap 600 Pure Growth (RZG),N/A,N/A
1984246.BE,RABOBANK VRN REG-S,ETF,0,RABOBANK VRN REG-S (1984246.BE),N/A,N/A
HAF-A.TO,HORIZONS ACTIVE YIELD MATCHED D,ETF,0,HORIZONS ACTIVE YIELD MATCHED D (HAF-A.TO),N/A,N/A
IAF.AX,iShares UBS Composite Bond Index Fund,ETF,0,iShares UBS Composite Bond Index Fund (IAF.AX),N/A,N/A
EXV9.HM,IS SEU600 TR&L;,ETF,0,IS SEU600 TR&L; (EXV9.HM),N/A,N/A
AADR,AdvisorShares WCMBNY Mln Fcsd GR ADR ETF,ETF,0,AdvisorShares WCMBNY Mln Fcsd GR ADR ETF (AADR),N/A,N/A
SPYH.SG,SPDR MSCI HLT,ETF,0,SPDR MSCI HLT (SPYH.SG),N/A,N/A
21982802.SG,,ETF,0,21982802.SG,N/A,N/A
21929970.SG,,ETF,0,21929970.SG,N/A,N/A
20291865.SG,,ETF,0,20291865.SG,N/A,N/A
