Ticker,Name,Sector,Market Cap,Company,Sales,EBITDA
FLWS,1-800-Flowers.com Inc.,"Specialty Retail, Other",346.94M,1-800-Flowers.com Inc.(FLWS),822M,968M
KTP,Corts 7.625 Pfd Common Stock,,0,Corts 7.625 Pfd Common Stock(KTP),116B,683M
KTN,Structured Products Corp 8.205%,,0,Structured Products Corp 8.205%(KTN),823B,361B
PCYO,Pure Cycle Corporation,Water Utilities,149.03M,Pure Cycle Corporation(PCYO),852M,949B
PCYC,Pharmacyclics Inc.,Drug Manufacturers - Other,7.89B,Pharmacyclics Inc.(PCYC),509M,132M
KTF,DSW Municiple Income Trust Comm,,0,DSW Municiple Income Trust Comm(KTF),408B,730M
SPRD,Spreadtrum Communications Inc.,Semiconductor - Broad Line,0,Spreadtrum Communications Inc.(SPRD),3M,534M
ZEP,"Zep, Inc.",Cleaning Products,425.54M,"Zep, Inc.(ZEP)",567M,188B
SPRO,SmartPros Ltd.,Education & Training Services,11.15M,SmartPros Ltd.(SPRO),303B,761M
CUDA,"Barracuda Networks, Inc.",Communication Equipment,1.80B,"Barracuda Networks, Inc.(CUDA)",474M,425M
IPHS,Innophos Holdings Inc,Specialty Chemicals,1.06B,Innophos Holdings Inc(IPHS),104B,562M
MHY,Western Asset Managed High Inco,,0,Western Asset Managed High Inco(MHY),246M,814M
VLTR,Volterra Semiconductor Corporation,,0,Volterra Semiconductor Corporation(VLTR),31B,364M
ERF,Enerplus Corporation,Oil & Gas Drilling & Exploration,3.66B,Enerplus Corporation(ERF),467B,83M
ERA,Era Group Inc.,"Air Services, Other",617.99M,Era Group Inc.(ERA),515M,318M
RGLD,"Royal Gold, Inc.",Gold,2.96B,"Royal Gold, Inc.(RGLD)",383M,696B
DNR,Denbury Resources Inc.,Independent Oil & Gas,5.99B,Denbury Resources Inc.(DNR),36B,465B
SYMC,Symantec Corporation,Security Software & Services,16.35B,Symantec Corporation(SYMC),709M,983M
ITC,ITC Holdings Corp.,Electric Utilities,4.94B,ITC Holdings Corp.(ITC),858B,791B
VTNR,"Vertex Energy, Inc.",Waste Management,57.34M,"Vertex Energy, Inc.(VTNR)",501M,40M
ITG,Investment Technology Group Inc.,Investment Brokerage - Regional,741.62M,Investment Technology Group Inc.(ITG),240M,744M
SSYS,Stratasys Ltd.,Computer Peripherals,6.35B,Stratasys Ltd.(SSYS),389B,230B
VTNC,Vitran Corp Inc.,,105.99M,Vitran Corp Inc.(VTNC),165M,409M
OIBR-C,Oi SA,Diversified Communication Services,2.59B,Oi SA(OIBR-C),700M,941M
GDO,Western Asset Global Corporate ,,0,Western Asset Global Corporate (GDO),520M,497M
GPOR,Gulfport Energy Corp.,Independent Oil & Gas,4.75B,Gulfport Energy Corp.(GPOR),204M,512M
CKH,Seacor Holdings Inc.,Shipping,1.87B,Seacor Holdings Inc.(CKH),870M,789M
CKP,Checkpoint Systems Inc.,Security & Protection Services,632.30M,Checkpoint Systems Inc.(CKP),999B,351M
CNBC,"Center Bancorp, Inc.",Regional - Northeast Banks,312.98M,"Center Bancorp, Inc.(CNBC)",297M,99B
VECO,Veeco Instruments Inc.,Semiconductor Equipment & Materials,1.27B,Veeco Instruments Inc.(VECO),347B,78M
CNET,"ChinaNet Online Holdings, Inc.",Internet Information Providers,19.91M,"ChinaNet Online Holdings, Inc.(CNET)",900B,678M
NBL,"Noble Energy, Inc.",Independent Oil & Gas,24.20B,"Noble Energy, Inc.(NBL)",658B,722M
NBB,Nuveen Build America Bond Fund ,,0,Nuveen Build America Bond Fund (NBB),161B,398M
NBD,Nuveen Build America Bond Oppor,,0,Nuveen Build America Bond Oppor(NBD),331B,205M
NBG,National Bank of Greece SA,Money Center Banks,13.74B,National Bank of Greece SA(NBG),610M,42M
NBS,"Neostem, Inc.",Biotechnology,188.36M,"Neostem, Inc.(NBS)",399B,592B
NBR,Nabors Industries Ltd.,Oil & Gas Drilling & Exploration,4.97B,Nabors Industries Ltd.(NBR),193M,150M
HCP,"HCP, Inc.",REIT - Healthcare Facilities,16.67B,"HCP, Inc.(HCP)",331B,685M
HCS,HSBC Holdings plc,,0,HSBC Holdings plc(HCS),481M,852M
HXM,"Desarrolladora Homex, SAB de CV",Residential Construction,64.86M,"Desarrolladora Homex, SAB de CV(HXM)",133M,45B
WIN,"Windstream Holdings, Inc.",Telecom Services - Domestic,4.78B,"Windstream Holdings, Inc.(WIN)",902B,446B
DYNT,Dynatronics Corp.,Medical Appliances & Equipment,10.70M,Dynatronics Corp.(DYNT),984M,865B
SPIL,Siliconware Precision Industries Co. Ltd.,,3.73B,Siliconware Precision Industries Co. Ltd.(SPIL),442B,505B
CMA-WT,COMERICA INCORPORATED,,0,COMERICA INCORPORATED(CMA-WT),667M,254B
MBT,Mobile Telesystems OJSC,Wireless Communications,21.40B,Mobile Telesystems OJSC(MBT),349B,886M
DOVR,"Dover Saddlery, Inc.",Sporting Goods Stores,28.61M,"Dover Saddlery, Inc.(DOVR)",125B,919M
HMST,"HomeStreet, Inc.",Savings & Loans,284.03M,"HomeStreet, Inc.(HMST)",724M,17B
MBI,MBIA Inc.,Property & Casualty Insurance,2.27B,MBIA Inc.(MBI),959B,746B
LTM,Life Time Fitness Inc.,Sporting Activities,1.91B,Life Time Fitness Inc.(LTM),491B,507M
HAFC,Hanmi Financial Corporation,Regional - Pacific Banks,694.18M,Hanmi Financial Corporation(HAFC),388M,565M
LTD,"L Brands, Inc.",Apparel Stores,0,"L Brands, Inc.(LTD)",285B,191M
LTC,LTC Properties Inc.,REIT - Healthcare Facilities,1.24B,LTC Properties Inc.(LTC),0B,204B
OKSBP,"Southwest Bancorp, Inc.",,0,"Southwest Bancorp, Inc.(OKSBP)",460B,99B
WVVI,Willamette Valley Vineyards Inc.,Beverages - Wineries & Distillers,30.80M,Willamette Valley Vineyards Inc.(WVVI),995M,561M
RPRXZ,Repros Therapeutics Inc.,,0,Repros Therapeutics Inc.(RPRXZ),306M,211M
VRSK,"Verisk Analytics, Inc.",Business Services,11.11B,"Verisk Analytics, Inc.(VRSK)",61M,897B
VRSN,"VeriSign, Inc.",Internet Information Providers,8.13B,"VeriSign, Inc.(VRSN)",412M,622B
LPNT,Lifepoint Hospitals Inc.,Hospitals,2.49B,Lifepoint Hospitals Inc.(LPNT),24M,223M
VBF,Invesco Bond Fund Common Stock,,0,Invesco Bond Fund Common Stock(VBF),336B,796M
EXTR,Extreme Networks Inc.,Networking & Communication Devices,661.78M,Extreme Networks Inc.(EXTR),832B,708B
HSTM,Healthstream Inc.,Internet Information Providers,914.17M,Healthstream Inc.(HSTM),705M,728B
MODN,"Model N, Inc.",,278.63M,"Model N, Inc.(MODN)",632B,634B
AVGO,Avago Technologies Limited,Semiconductor - Broad Line,13.12B,Avago Technologies Limited(AVGO),798M,396M
RPRXW,Repros Therapeutics Inc.,,0,Repros Therapeutics Inc.(RPRXW),102M,914M
CHNR,China Natural Resources Inc.,Industrial Metals & Minerals,81.95M,China Natural Resources Inc.(CHNR),41M,873B
UBS,UBS AG,Foreign Money Center Banks,72.00B,UBS AG(UBS),282B,903B
UBP,Urstadt Biddle Properties Inc.,,489.62M,Urstadt Biddle Properties Inc.(UBP),0M,490B
KVHI,KVH Industries Inc.,Communication Equipment,208.89M,KVH Industries Inc.(KVHI),23B,253M
UBA,Urstadt Biddle Properties Inc.,REIT - Retail,573.99M,Urstadt Biddle Properties Inc.(UBA),455M,207M
BPO,Brookfield Office Properties Inc.,Property Management,9.72B,Brookfield Office Properties Inc.(BPO),648B,463M
BPL,"Buckeye Partners, L.P.",Oil & Gas Pipelines,8.12B,"Buckeye Partners, L.P.(BPL)",23M,113B
BPK,BlackRock Municipal 2018 Term Trust,Closed-End Fund - Debt,255.32M,BlackRock Municipal 2018 Term Trust(BPK),375B,290B
BPI,"Bridgepoint Education, Inc.",Education & Training Services,940.34M,"Bridgepoint Education, Inc.(BPI)",235M,515B
BPZ,"BPZ Resources, Inc.",Oil & Gas Drilling & Exploration,204.18M,"BPZ Resources, Inc.(BPZ)",562B,272B
BPY,Brookfield Property Partners L.P.,Real Estate Development,1.60B,Brookfield Property Partners L.P.(BPY),582B,93M
BPT,BP Prudhoe Bay Royalty Trust,Oil & Gas Refining & Marketing,1.69B,BP Prudhoe Bay Royalty Trust(BPT),925M,47B
SLGN,Silgan Holdings Inc.,Packaging & Containers,3.04B,Silgan Holdings Inc.(SLGN),200B,584M
BEE,"Strategic Hotels & Resorts, Inc.",REIT - Hotel/Motel,1.94B,"Strategic Hotels & Resorts, Inc.(BEE)",599B,975M
VKQ,Invesco Municipal Trust Common ,,0,Invesco Municipal Trust Common (VKQ),671B,579M
MIC,Macquarie Infrastructure Company LLC,Basic Materials Wholesale,2.85B,Macquarie Infrastructure Company LLC(MIC),592M,606B
WWW,Wolverine World Wide Inc.,Textile - Apparel Footwear & Accessories,1.70B,Wolverine World Wide Inc.(WWW),855M,961M
ESIO,Electro Scientific Industries Inc.,Semiconductor - Integrated Circuits,309.49M,Electro Scientific Industries Inc.(ESIO),945B,839B
WWE,World Wrestling Entertainment Inc.,Entertainment - Diversified,1.22B,World Wrestling Entertainment Inc.(WWE),971M,520M
BEP,Brookfield Renewable Energy Partners LP,Diversified Utilities,6.86B,Brookfield Renewable Energy Partners LP(BEP),877M,228B
AREX,"Approach Resources, Inc.",Oil & Gas Drilling & Exploration,758.37M,"Approach Resources, Inc.(AREX)",241M,286M
ANAD,"Anadigics, Inc.",Semiconductor - Integrated Circuits,150.40M,"Anadigics, Inc.(ANAD)",946B,17B
TAL,"TAL International Group, Inc.",Rental & Leasing Services,1.90B,"TAL International Group, Inc.(TAL)",624B,35B
TBBK,The Bancorp Inc.,Regional - Mid-Atlantic Banks,676.03M,The Bancorp Inc.(TBBK),77M,462M
RCL,Royal Caribbean Cruises Ltd.,Resorts & Casinos,10.41B,Royal Caribbean Cruises Ltd.(RCL),455M,231M
ALSN,"Allison Transmission Holdings, Inc.",Auto Parts,4.97B,"Allison Transmission Holdings, Inc.(ALSN)",244M,533B
MIN,MFS Intermediate Income Trust C,,0,MFS Intermediate Income Trust C(MIN),286B,599M
METR,"Metro Bancorp, Inc.",Regional - Northeast Banks,299.10M,"Metro Bancorp, Inc.(METR)",402M,501B
AFCE,AFC Enterprises Inc.,Restaurants,895.73M,AFC Enterprises Inc.(AFCE),224B,292M
RCS,RCM Strategic Global Government,,0,RCM Strategic Global Government(RCS),907B,230B
WRES,Warren Resources Inc.,Independent Oil & Gas,228.71M,Warren Resources Inc.(WRES),975M,134B
ANF,Abercrombie & Fitch Co.,Apparel Stores,2.54B,Abercrombie & Fitch Co.(ANF),769M,439B
ROSG,"Rosetta Genomics, Ltd.",Medical Laboratories & Research,28.19M,"Rosetta Genomics, Ltd.(ROSG)",618B,770M
DDE,Dover Downs Gaming & Entertainment Inc.,Gaming Activities,47.88M,Dover Downs Gaming & Entertainment Inc.(DDE),455M,553M
XWES,"World Energy Solutions, Inc.",Business Services,50.51M,"World Energy Solutions, Inc.(XWES)",676B,190B
ANAT,American National Insurance Co.,Property & Casualty Insurance,3.01B,American National Insurance Co.(ANAT),453B,84M
UEIC,Universal Electronics Inc.,Electronic Equipment,595.95M,Universal Electronics Inc.(UEIC),561M,660B
JCE,Nuveen Core Equity Alpha Fund N,,0,Nuveen Core Equity Alpha Fund N(JCE),734B,664B
TZOO,Travelzoo Inc.,Internet Information Providers,334.72M,Travelzoo Inc.(TZOO),452M,583M
JCI,Johnson Controls Inc.,Auto Parts,34.85B,Johnson Controls Inc.(JCI),224B,820B
NMI,"Nuveen Municipal Income Fund, Inc.",Closed-End Fund - Debt,83.55M,"Nuveen Municipal Income Fund, Inc.(NMI)",557M,175B
JCP,"J. C. Penney Company, Inc.",Department Stores,2.74B,"J. C. Penney Company, Inc.(JCP)",151M,484B
DDS,Dillard's Inc.,Department Stores,4.24B,Dillard's Inc.(DDS),853B,520M
GJH,Synthetic Fixed-Income Securiti,,0,Synthetic Fixed-Income Securiti(GJH),92M,584B
GJK,SYNTHETIC FIXED FLOATING RATE S,,0,SYNTHETIC FIXED FLOATING RATE S(GJK),571M,708B
GJV,Synthetic Fixed-Income Securiti,,0,Synthetic Fixed-Income Securiti(GJV),170M,288M
DHIL,Diamond Hill Investment Group Inc.,Asset Management,392.53M,Diamond Hill Investment Group Inc.(DHIL),41M,140B
GJP,Synthetic Fixed-Income Securiti,,0,Synthetic Fixed-Income Securiti(GJP),851B,241B
CBLI,"Cleveland BioLabs, Inc.",Biotechnology,50.61M,"Cleveland BioLabs, Inc.(CBLI)",276M,836M
GJS,Goldman Sachs Group Securities ,,0,Goldman Sachs Group Securities (GJS),652B,723B
PMX,PIMCO Municipal Income Fund III,,0,PIMCO Municipal Income Fund III(PMX),449M,74M
PMT,PennyMac Mortgage Investment Trust,REIT - Residential,1.61B,PennyMac Mortgage Investment Trust(PMT),94B,467B
MGU,Macquarie Global Infrastructure,,0,Macquarie Global Infrastructure(MGU),751M,163M
PML,Pimco Municipal Income Fund II ,,0,Pimco Municipal Income Fund II (PML),604B,839B
PMF,PIMCO Municipal Income Fund Com,,0,PIMCO Municipal Income Fund Com(PMF),563M,345M
LOCK,"LifeLock, Inc.",Application Software,1.48B,"LifeLock, Inc.(LOCK)",124M,153B
PMC,PharMerica Corporation,Drug Stores,628.01M,PharMerica Corporation(PMC),130M,270M
AXDX,"Accelerate Diagnostics, Inc.",Diagnostic Substances,559.42M,"Accelerate Diagnostics, Inc.(AXDX)",730B,85M
FMX,Fomento Econ,Beverages - Brewers,35.01B,Fomento Econ(FMX),888M,122B
CO,China Cord Blood Corporation,Medical Laboratories & Research,293.47M,China Cord Blood Corporation(CO),465M,804M
WAGE,"WageWorks, Inc.",Management Services,2.08B,"WageWorks, Inc.(WAGE)",18B,109M
MGLN,Magellan Health Services Inc.,Health Care Plans,1.60B,Magellan Health Services Inc.(MGLN),126M,677B
CUBA,Herzfeld Caribbean Basin Fund Inc.,,0,Herzfeld Caribbean Basin Fund Inc.(CUBA),66M,252M
IILG,"Interval Leisure Group, Inc.",Business Services,1.77B,"Interval Leisure Group, Inc.(IILG)",501M,618M
EFUT,e-Future Information Technology Inc.,Application Software,16.58M,e-Future Information Technology Inc.(EFUT),547M,685B
FWLT,Foster Wheeler AG,Heavy Construction,3.23B,Foster Wheeler AG(FWLT),225M,77B
EPB,"El Paso Pipeline Partners, L.P.",Oil & Gas Pipelines,7.75B,"El Paso Pipeline Partners, L.P.(EPB)",988M,90M
EPL,"EPL Oil & Gas, Inc.",Independent Oil & Gas,1.10B,"EPL Oil & Gas, Inc.(EPL)",926M,317B
SKYW,SkyWest Inc.,Regional Airlines,759.43M,SkyWest Inc.(SKYW),969M,446B
AVNR,"Avanir Pharmaceuticals, Inc.",Drugs - Generic,514.12M,"Avanir Pharmaceuticals, Inc.(AVNR)",28M,760M
PEGA,Pegasystems Inc.,Business Software & Services,1.89B,Pegasystems Inc.(PEGA),653M,701M
OPXA,"Opexa Therapeutics, Inc.",Biotechnology,42.50M,"Opexa Therapeutics, Inc.(OPXA)",855B,886B
UCFC,United Community Financial Corp.,Savings & Loans,178.82M,United Community Financial Corp.(UCFC),819B,544M
NEWT,Newtek Business Services Inc.,Business Services,108.45M,Newtek Business Services Inc.(NEWT),41M,245M
VOLC,Volcano Corporation,Medical Appliances & Equipment,1.20B,Volcano Corporation(VOLC),61M,184B
ABGB,Abengoa SA,,23.75B,Abengoa SA(ABGB),624M,547M
CME,CME Group Inc.,Investment Brokerage - National,26.18B,CME Group Inc.(CME),133M,543M
CMG,"Chipotle Mexican Grill, Inc.",Restaurants,16.51B,"Chipotle Mexican Grill, Inc.(CMG)",936M,13M
CMA,Comerica Incorporated,Regional - Midwest Banks,8.69B,Comerica Incorporated(CMA),118M,24B
CMC,Commercial Metals Company,Steel & Iron,2.38B,Commercial Metals Company(CMC),249M,677M
CMO,Capstead Mortgage Corp.,REIT - Diversified,1.15B,Capstead Mortgage Corp.(CMO),154M,181M
CMN,Cantel Medical Corp.,Medical Instruments & Supplies,1.38B,Cantel Medical Corp.(CMN),75M,477M
CMI,Cummins Inc.,Diversified Machinery,26.03B,Cummins Inc.(CMI),270M,341M
CMU,MFS High Yield Municipal Trust,Closed-End Fund - Debt,117.13M,MFS High Yield Municipal Trust(CMU),501B,427M
CMP,Compass Minerals International Inc.,Industrial Metals & Minerals,2.67B,Compass Minerals International Inc.(CMP),739M,296B
HME,Home Properties Inc.,REIT - Residential,3.08B,Home Properties Inc.(HME),121B,93B
HMC,"Honda Motor Co., Ltd.",Auto Manufacturers - Major,74.25B,"Honda Motor Co., Ltd.(HMC)",295B,605M
HMA,Health Management Associates Inc.,Hospitals,3.46B,Health Management Associates Inc.(HMA),181B,246B
HMN,Horace Mann Educators Corp.,Property & Casualty Insurance,1.28B,Horace Mann Educators Corp.(HMN),381M,132M
CNCO,Cencosud S.A.,"Specialty Retail, Other",10.15B,Cencosud S.A.(CNCO),84B,345M
HMY,Harmony Gold Mining Company Limited,Gold,1.09B,Harmony Gold Mining Company Limited(HMY),135B,103B
RALY,Rally Software Development Corp.,Application Software,473.59M,Rally Software Development Corp.(RALY),371M,374B
NVMI,Nova Measuring Instruments Ltd.,Semiconductor Equipment & Materials,265.01M,Nova Measuring Instruments Ltd.(NVMI),408B,915B
LBAI,Lakeland Bancorp Inc.,Regional - Northeast Banks,449.69M,Lakeland Bancorp Inc.(LBAI),669M,636B
HELE,Helen of Troy Limited,Housewares & Accessories,1.59B,Helen of Troy Limited(HELE),729M,651M
AOI,"Alliance One International, Inc.","Tobacco Products, Other",271.49M,"Alliance One International, Inc.(AOI)",517B,923M
AOL,AOL Inc.,Internet Information Providers,3.58B,AOL Inc.(AOL),889M,625M
AON,Aon plc,Insurance Brokers,25.18B,Aon plc(AON),185M,272M
AOD,Alpine Total Dynamic Dividend F,,0,Alpine Total Dynamic Dividend F(AOD),237B,488M
NGVC,"Natural Grocers by Vitamin Cottage, Inc.",Grocery Stores,942.79M,"Natural Grocers by Vitamin Cottage, Inc.(NGVC)",511B,306M
STON,Stonemor Partners LP,Personal Services,546.57M,Stonemor Partners LP(STON),293B,935M
AOS,AO Smith Corp.,Industrial Electrical Equipment,4.95B,AO Smith Corp.(AOS),879B,934M
LVS,Las Vegas Sands Corp.,Resorts & Casinos,64.83B,Las Vegas Sands Corp.(LVS),177B,682M
BABY,Natus Medical Inc.,Medical Appliances & Equipment,665.91M,Natus Medical Inc.(BABY),319M,754M
GDOT,Green Dot Corporation,Business Services,916.88M,Green Dot Corporation(GDOT),508B,784M
LPLA,LPL Financial Holdings Inc.,Investment Brokerage - National,4.90B,LPL Financial Holdings Inc.(LPLA),391B,459B
IMMR,Immersion Corporation,Computer Peripherals,297.42M,Immersion Corporation(IMMR),677B,623B
IMMY,"Imprimis Pharmaceuticals, Inc.",Biotechnology,28.79M,"Imprimis Pharmaceuticals, Inc.(IMMY)",49B,174B
BEBE,"Bebe Stores, Inc.",Apparel Stores,426.15M,"Bebe Stores, Inc.(BEBE)",318B,37M
PAM,Pampa Energia SA,Electric Utilities,279.26M,Pampa Energia SA(PAM),838B,372B
SMTC,Semtech Corporation,Semiconductor - Integrated Circuits,1.74B,Semtech Corporation(SMTC),500B,991M
KNL,"Knoll, Inc.",Business Equipment,861.77M,"Knoll, Inc.(KNL)",568B,749M
WTFCW,Wintrust Financial Corporation,,0,Wintrust Financial Corporation(WTFCW),224M,776M
AKRX,"Akorn, Inc.",Drugs - Generic,2.38B,"Akorn, Inc.(AKRX)",901B,821B
RYN,Rayonier Inc.,"Lumber, Wood Production",5.40B,Rayonier Inc.(RYN),490B,433M
MDSO,"Medidata Solutions, Inc.",Healthcare Information Services,3.09B,"Medidata Solutions, Inc.(MDSO)",565M,739B
PBYI,"Puma Biotechnology, Inc.",Biotechnology,2.94B,"Puma Biotechnology, Inc.(PBYI)",180M,317M
AVAV,"AeroVironment, Inc.",Aerospace/Defense Products & Services,642.58M,"AeroVironment, Inc.(AVAV)",577M,444B
KEYN,"Keynote Systems, Inc.",,0,"Keynote Systems, Inc.(KEYN)",508M,593B
OSBCP,"Old Second Bancorp, Inc.",,0,"Old Second Bancorp, Inc.(OSBCP)",673M,970B
IRE,The Governor and Company of the Bank of Ireland,Foreign Regional Banks,10.80B,The Governor and Company of the Bank of Ireland(IRE),725B,147M
PRE,PartnerRe Ltd.,Property & Casualty Insurance,5.55B,PartnerRe Ltd.(PRE),4M,21B
OWW,"Orbitz Worldwide, Inc.",General Entertainment,789.89M,"Orbitz Worldwide, Inc.(OWW)",367B,233B
PRO,"PROS Holdings, Inc.",Application Software,1.13B,"PROS Holdings, Inc.(PRO)",359M,331B
PRI,"Primerica, Inc.",Life Insurance,2.39B,"Primerica, Inc.(PRI)",247M,533B
PRH,"Prudential Financial, Inc.",,9.59B,"Prudential Financial, Inc.(PRH)",832B,829M
PRU,"Prudential Financial, Inc.",Life Insurance,42.29B,"Prudential Financial, Inc.(PRU)",640M,503B
BRKL,"Brookline Bancorp, Inc.",Savings & Loans,670.64M,"Brookline Bancorp, Inc.(BRKL)",986M,108B
FRT,Federal Realty Investment Trust,REIT - Retail,6.58B,Federal Realty Investment Trust(FRT),455M,593B
FRX,Forest Laboratories Inc.,Drug Manufacturers - Other,16.23B,Forest Laboratories Inc.(FRX),920M,474M
BSMX,"Grupo Financiero Santander Mexico, S.A.B. de C.V.",Foreign Regional Banks,18.29B,"Grupo Financiero Santander Mexico, S.A.B. de C.V.(BSMX)",459B,31B
FRA,Blackrock Floating Rate Income ,,0,Blackrock Floating Rate Income (FRA),815B,512M
FRC,First Republic Bank,Money Center Banks,6.92B,First Republic Bank(FRC),84M,133B
FTEK,"Fuel-Tech, Inc.",Pollution & Treatment Controls,168.30M,"Fuel-Tech, Inc.(FTEK)",273M,287B
FRM,Furmanite Corporation,Technical Services,404.51M,Furmanite Corporation(FRM),63B,413M
FRO,Frontline Ltd.,Shipping,292.51M,Frontline Ltd.(FRO),38M,543B
MHLD,"Maiden Holdings, Ltd.",Property & Casualty Insurance,779.86M,"Maiden Holdings, Ltd.(MHLD)",56B,485M
ATLS,"Atlas Energy, L.P",Gas Utilities,2.44B,"Atlas Energy, L.P(ATLS)",653B,738B
PBSK,"Poage Bankshares, Inc.",Conglomerates,44.01M,"Poage Bankshares, Inc.(PBSK)",885B,88B
VEEV,Veeva Systems Inc.,Application Software,3.99B,Veeva Systems Inc.(VEEV),635M,226M
CODE,Spansion Inc.,Semiconductor- Memory Chips,795.79M,Spansion Inc.(CODE),304M,769B
OREX,"Orexigen Therapeutics, Inc.",Drug Manufacturers - Other,579.95M,"Orexigen Therapeutics, Inc.(OREX)",39B,412B
RAI,Reynolds American Inc.,Cigarettes,26.82B,Reynolds American Inc.(RAI),211B,162B
RAD,Rite Aid Corporation,Drug Stores,4.73B,Rite Aid Corporation(RAD),762B,485B
MLNK,"ModusLink Global Solutions, Inc.",Air Delivery & Freight Services,292.68M,"ModusLink Global Solutions, Inc.(MLNK)",189M,47B
THRM,Gentherm Incorporated,Auto Parts,874.86M,Gentherm Incorporated(THRM),875B,622M
RAX,"Rackspace Hosting, Inc.",Information Technology Services,5.37B,"Rackspace Hosting, Inc.(RAX)",942M,251B
MLNX,"Mellanox Technologies, Ltd.",Semiconductor - Broad Line,1.73B,"Mellanox Technologies, Ltd.(MLNX)",636M,756M
THRX,Theravance Inc.,Biotechnology,3.88B,Theravance Inc.(THRX),235B,214B
RAS,RAIT Financial Trust,REIT - Diversified,632.65M,RAIT Financial Trust(RAS),190M,750M
UBNT,"Ubiquiti Networks, Inc.",Wireless Communications,3.93B,"Ubiquiti Networks, Inc.(UBNT)",417B,593B
ROMA,Roma Financial Corp.,Savings & Loans,0,Roma Financial Corp.(ROMA),562M,3B
UBNK,"United Financial Bancorp, Inc.",Savings & Loans,376.73M,"United Financial Bancorp, Inc.(UBNK)",742B,928M
CCBG,Capital City Bank Group Inc.,Regional - Mid-Atlantic Banks,208.93M,Capital City Bank Group Inc.(CCBG),899B,371B
QKLS,QKL Stores Inc.,Grocery Stores,6.16M,QKL Stores Inc.(QKLS),294M,327M
JAH,Jarden Corp.,Housewares & Accessories,7.78B,Jarden Corp.(JAH),465B,779M
XUE,Xueda Education Group,Education & Training Services,425.26M,Xueda Education Group(XUE),897B,183M
GDF,Western Asset Global Partners Income Fund Inc.,Closed-End Fund - Debt,168.35M,Western Asset Global Partners Income Fund Inc.(GDF),294M,195M
SPE,"Special Opportunities Fund, Inc.",Closed-End Fund - Equity,120.00M,"Special Opportunities Fund, Inc.(SPE)",87M,381M
PENN,Penn National Gaming Inc.,Resorts & Casinos,1.13B,Penn National Gaming Inc.(PENN),936B,193B
GDL,"GDL Fund, The Common Shares of ",,0,"GDL Fund, The Common Shares of (GDL)",549B,912B
SYMM,Symmetricom Inc.,Communication Equipment,0,Symmetricom Inc.(SYMM),166B,439B
DSM,Dreyfus Strategic Municipal Bond Fund Inc.,Closed-End Fund - Debt,361.24M,Dreyfus Strategic Municipal Bond Fund Inc.(DSM),673B,299M
GDP,Goodrich Petroleum Corp.,Independent Oil & Gas,622.83M,Goodrich Petroleum Corp.(GDP),998B,478M
POR,Portland General Electric Company,Electric Utilities,2.35B,Portland General Electric Company(POR),299B,452B
POT,"Potash Corp. of Saskatchewan, Inc.",Agricultural Chemicals,28.35B,"Potash Corp. of Saskatchewan, Inc.(POT)",475B,827M
JHI,John Hancock Investors Trust,Closed-End Fund - Debt,160.98M,John Hancock Investors Trust(JHI),840B,225B
LOAN,"Manhattan Bridge Capital, Inc.",Credit Services,7.62M,"Manhattan Bridge Capital, Inc.(LOAN)",616B,919B
HMSY,HMS Holdings Corp.,Business Services,1.98B,HMS Holdings Corp.(HMSY),113B,78M
CYS,"CYS Investments, Inc.",REIT - Residential,1.23B,"CYS Investments, Inc.(CYS)",552M,12M
TGTX,"TG Therapeutics, Inc.",Biotechnology,126.42M,"TG Therapeutics, Inc.(TGTX)",558B,328B
MPWR,Monolithic Power Systems Inc.,Semiconductor - Specialized,1.31B,Monolithic Power Systems Inc.(MPWR),672M,975B
POL,PolyOne Corporation,Specialty Chemicals,3.36B,PolyOne Corporation(POL),173M,951M
POM,"Pepco Holdings, Inc.",Electric Utilities,4.76B,"Pepco Holdings, Inc.(POM)",430B,721B
PMO,Putnam Municipal Opportunities Trust,Closed-End Fund - Debt,461.85M,Putnam Municipal Opportunities Trust(PMO),334M,127M
YOD,"YOU On Demand Holdings, Inc.",CATV Systems,35.87M,"YOU On Demand Holdings, Inc.(YOD)",670M,681B
OBAF,"OBA Financial Services, Inc.",Regional - Mid-Atlantic Banks,68.24M,"OBA Financial Services, Inc.(OBAF)",683M,489B
SFUN,SouFun Holdings Ltd.,Internet Information Providers,6.65B,SouFun Holdings Ltd.(SFUN),256B,569M
EVN,Eaton Vance Municipal Income Tr,,0,Eaton Vance Municipal Income Tr(EVN),309M,522M
EVC,Entravision Communications Corporation,Broadcasting - TV,536.40M,Entravision Communications Corporation(EVC),552M,520M
EVG,Eaton Vance Short Duration Diversified Income Fund,Closed-End Fund - Debt,288.71M,Eaton Vance Short Duration Diversified Income Fund(EVG),891M,381M
NXR,Nuveen Select Tax-Free Income Portfolio 3,Closed-End Fund - Debt,167.76M,Nuveen Select Tax-Free Income Portfolio 3(NXR),984M,944M
EVR,Evercore Partners Inc.,Asset Management,1.95B,Evercore Partners Inc.(EVR),971B,195M
EVT,Eaton Vance Tax Advantaged Divi,,0,Eaton Vance Tax Advantaged Divi(EVT),142B,983B
NXP,Nuveen Select Tax Free Income P,,0,Nuveen Select Tax Free Income P(NXP),865B,555M
VNO-PI,Vornado Realty Trust Preferred ,,0,Vornado Realty Trust Preferred (VNO-PI),32B,442M
